system:index,aClass,dClass,eClass,finalCla_1,finalClass,include,lat,lon,pointID,random,sysID,v1_2_Class,.geo
000000000000000000a2,0,0,0,0,1,1,-22.28781425,-41.32866693,,0.442054321,1_1_5,0,"{""type"":""Point"",""coordinates"":[-41.32866531724198,-22.2878133179122]}"
000000000000000000a6,0,0,0,0,1,1,-5.785762591,106.4082637,,0.443623365,1_1_371,0,"{""type"":""Point"",""coordinates"":[106.40826419005283,-5.78576388066499]}"
000000000000000000a7,0,0,0,0,1,1,-2.399113094,9.848354469,,0.44493225,1_1_202,0,"{""type"":""Point"",""coordinates"":[9.848352750236353,-2.3991123033812722]}"
000000000000000000a8,0,0,0,0,1,1,21.26251043,86.95973795,,0.445953345,1_1_466,0,"{""type"":""Point"",""coordinates"":[86.95973887691174,21.26250991718812]}"
000000000000000000ab,0,0,0,0,1,1,18.5855318,38.40579716,,0.447659094,1_1_149,0,"{""type"":""Point"",""coordinates"":[38.405795922325055,18.58553319076242]}"
000000000000000000ac,0,0,0,0,1,1,37.96668303,118.1088211,,0.450915726,1_1_438,0,"{""type"":""Point"",""coordinates"":[118.1088204994653,37.96668148698592]}"
000000000000000000ad,0,0,0,0,1,1,-18.50590603,121.4101289,,0.451898161,1_1_305,0,"{""type"":""Point"",""coordinates"":[121.41012934168715,-18.505907023251037]}"
000000000000000000ae,0,0,0,0,1,1,4.787408233,6.079922776,,0.452385635,1_1_94,0,"{""type"":""Point"",""coordinates"":[6.079921858958707,4.787406827606884]}"
000000000000000000b0,0,0,0,0,1,1,-25.18488012,153.5114262,,0.454226887,1_1_817,0,"{""type"":""Point"",""coordinates"":[153.51142523959774,-25.184877895032823]}"
000000000000000000b1,0,0,0,0,1,1,30.18278115,-86.0423099,,0.454706838,1_1_853,0,"{""type"":""Point"",""coordinates"":[-86.04231004887262,30.182781046968675]}"
000000000000000000b3,0,0,0,0,1,1,9.404749661,-71.88486111,,0.455809581,1_1_974,0,"{""type"":""Point"",""coordinates"":[-71.88486040462831,9.404748000136397]}"
000000000000000000b4,0,0,0,0,1,1,-31.22605127,-51.91980406,,0.45592804,1_1_1048,0,"{""type"":""Point"",""coordinates"":[-51.91980620275924,-31.226050165837087]}"
000000000000000000b5,0,0,0,0,1,1,-32.62293153,126.5170521,,0.456328363,1_1_268,0,"{""type"":""Point"",""coordinates"":[126.51705305527867,-32.6229304573448]}"
000000000000000000b6,0,0,0,0,1,1,18.4912087,-92.22721059,,0.457544991,1_1_836,0,"{""type"":""Point"",""coordinates"":[-92.22721252393262,18.49120982617889]}"
000000000000000000b8,0,0,0,0,1,1,8.034818862,-78.76146367,,0.460414317,1_1_963,0,"{""type"":""Point"",""coordinates"":[-78.76146309419988,8.034818515395699]}"
000000000000000000b9,0,0,0,0,1,1,-11.58887929,130.9951529,,0.462333861,1_1_342,0,"{""type"":""Point"",""coordinates"":[130.99515433831328,-11.588878123528938]}"
000000000000000000ba,0,0,0,0,1,1,-24.72224865,34.93830019,,0.464623227,1_1_212,0,"{""type"":""Point"",""coordinates"":[34.93830084294236,-24.722250619838867]}"
000000000000000000bb,0,0,0,0,1,1,-11.89879716,134.8354507,,0.466951939,1_1_337,0,"{""type"":""Point"",""coordinates"":[134.8354525612693,-11.898799024046587]}"
000000000000000000bc,0,0,0,0,1,1,-16.75868371,138.2939645,,0.469236701,1_1_762,0,"{""type"":""Point"",""coordinates"":[138.2939625520293,-16.758684080176177]}"
000000000000000000be,0,0,0,0,1,1,33.3493434,132.2797437,,0.470277797,1_1_421,0,"{""type"":""Point"",""coordinates"":[132.2797455470931,33.34934477355746]}"
000000000000000000bf,0,0,0,0,1,1,10.20424936,-65.72690988,,0.471615741,1_1_900,0,"{""type"":""Point"",""coordinates"":[-65.72690873633536,10.20425144171608]}"
000000000000000000c0,0,0,0,0,1,1,-24.65038343,112.9030841,,0.472177531,1_1_286,0,"{""type"":""Point"",""coordinates"":[112.9030831065294,-24.650383288160477]}"
000000000000000000c1,0,0,0,0,1,1,6.004625435,0.734946871,,0.472286159,1_1_76,0,"{""type"":""Point"",""coordinates"":[0.7349490356289496,6.004625478570219]}"
000000000000000000c2,0,0,0,0,1,1,13.67623881,-15.65930696,,0.473692802,1_1_64,0,"{""type"":""Point"",""coordinates"":[-15.659306092752262,13.676236835859592]}"
000000000000000000c3,0,0,0,0,1,1,12.40961337,-70.89671341,,0.477002246,1_1_990,0,"{""type"":""Point"",""coordinates"":[-70.8967146929826,12.409611345224077]}"
000000000000000000c4,0,0,0,0,1,1,7.567694917,-12.32655817,,0.478706189,1_1_69,0,"{""type"":""Point"",""coordinates"":[-12.326556129002595,7.567696466339872]}"
000000000000000000c6,0,0,0,0,1,1,-26.7883729,113.4016491,,0.478793998,1_1_275,0,"{""type"":""Point"",""coordinates"":[113.40165073621412,-26.788375092953014]}"
000000000000000000c7,0,0,0,0,1,1,-21.81170626,-41.08163023,,0.478939703,1_1_6,0,"{""type"":""Point"",""coordinates"":[-41.08163111888108,-21.811706180233674]}"
000000000000000000cd,0,0,0,0,1,1,53.84440647,9.412671559,,0.486392552,1_1_568,0,"{""type"":""Point"",""coordinates"":[9.41267182270837,53.84440772663912]}"
000000000000000000ce,0,0,0,0,1,1,13.79751047,-16.6968611,,0.48742063,1_1_52,0,"{""type"":""Point"",""coordinates"":[-16.696863103171207,13.797511007210161]}"
000000000000000000cf,0,0,0,0,1,1,29.71116652,121.8682697,,0.49,1_2_150,0,"{""type"":""Point"",""coordinates"":[121.86827076122131,29.711168683152025]}"
